,5 Minutes,Lane 1 Flow (Veh/5 Minutes),# Lane Points,% Observed,day_of_week,datetime
99,4/1/2016 8:15,79,1,100,0,4/1/2016 8:15
100,4/1/2016 8:20,86,1,100,0,4/1/2016 8:20
101,4/1/2016 8:25,93,1,100,0,4/1/2016 8:25
102,4/1/2016 8:30,94,1,100,0,4/1/2016 8:30
103,4/1/2016 8:35,101,1,100,0,4/1/2016 8:35
104,4/1/2016 8:40,90,1,100,0,4/1/2016 8:40
105,4/1/2016 8:45,83,1,100,0,4/1/2016 8:45
106,4/1/2016 8:50,80,1,100,0,4/1/2016 8:50
107,4/1/2016 8:55,85,1,100,0,4/1/2016 8:55
108,4/1/2016 9:00,86,1,100,0,4/1/2016 9:00
109,4/1/2016 9:05,79,1,100,0,4/1/2016 9:05
110,4/1/2016 9:10,87,1,100,0,4/1/2016 9:10
111,4/1/2016 9:15,104,1,100,0,4/1/2016 9:15
112,4/1/2016 9:20,94,1,100,0,4/1/2016 9:20
113,4/1/2016 9:25,136,1,100,0,4/1/2016 9:25
114,4/1/2016 9:30,126,1,100,0,4/1/2016 9:30
115,4/1/2016 9:35,123,1,100,0,4/1/2016 9:35
116,4/1/2016 9:40,112,1,100,0,4/1/2016 9:40
117,4/1/2016 9:45,104,1,100,0,4/1/2016 9:45
118,4/1/2016 9:50,94,1,100,0,4/1/2016 9:50
119,4/1/2016 9:55,118,1,100,0,4/1/2016 9:55
120,4/1/2016 10:00,87,1,100,0,4/1/2016 10:00
121,4/1/2016 10:05,101,1,100,0,4/1/2016 10:05
122,4/1/2016 10:10,104,1,100,0,4/1/2016 10:10
123,4/1/2016 10:15,97,1,100,0,4/1/2016 10:15
124,4/1/2016 10:20,103,1,100,0,4/1/2016 10:20
125,4/1/2016 10:25,87,1,100,0,4/1/2016 10:25
126,4/1/2016 10:30,102,1,100,0,4/1/2016 10:30
127,4/1/2016 10:35,99,1,100,0,4/1/2016 10:35
128,4/1/2016 10:40,94,1,100,0,4/1/2016 10:40
129,4/1/2016 10:45,86,1,100,0,4/1/2016 10:45
130,4/1/2016 10:50,96,1,100,0,4/1/2016 10:50
131,4/1/2016 10:55,88,1,100,0,4/1/2016 10:55
132,4/1/2016 11:00,83,1,100,0,4/1/2016 11:00
133,4/1/2016 11:05,87,1,100,0,4/1/2016 11:05
134,4/1/2016 11:10,94,1,100,0,4/1/2016 11:10
135,4/1/2016 11:15,94,1,100,0,4/1/2016 11:15
136,4/1/2016 11:20,86,1,100,0,4/1/2016 11:20
137,4/1/2016 11:25,112,1,100,0,4/1/2016 11:25
138,4/1/2016 11:30,102,1,100,0,4/1/2016 11:30
139,4/1/2016 11:35,70,1,100,0,4/1/2016 11:35
140,4/1/2016 11:40,97,1,100,0,4/1/2016 11:40
141,4/1/2016 11:45,80,1,100,0,4/1/2016 11:45
142,4/1/2016 11:50,80,1,100,0,4/1/2016 11:50
143,4/1/2016 11:55,89,1,100,0,4/1/2016 11:55
144,4/1/2016 12:00,93,1,100,0,4/1/2016 12:00
145,4/1/2016 12:05,81,1,100,0,4/1/2016 12:05
146,4/1/2016 12:10,88,1,100,0,4/1/2016 12:10
147,4/1/2016 12:15,81,1,100,0,4/1/2016 12:15
148,4/1/2016 12:20,92,1,100,0,4/1/2016 12:20
149,4/1/2016 12:25,87,1,100,0,4/1/2016 12:25
150,4/1/2016 12:30,83,1,100,0,4/1/2016 12:30
151,4/1/2016 12:35,98,1,100,0,4/1/2016 12:35
152,4/1/2016 12:40,98,1,100,0,4/1/2016 12:40
153,4/1/2016 12:45,89,1,100,0,4/1/2016 12:45
154,4/1/2016 12:50,93,1,100,0,4/1/2016 12:50
155,4/1/2016 12:55,85,1,100,0,4/1/2016 12:55
156,4/1/2016 13:00,99,1,100,0,4/1/2016 13:00
157,4/1/2016 13:05,67,1,100,0,4/1/2016 13:05
158,4/1/2016 13:10,89,1,100,0,4/1/2016 13:10
159,4/1/2016 13:15,63,1,100,0,4/1/2016 13:15
160,4/1/2016 13:20,88,1,100,0,4/1/2016 13:20
161,4/1/2016 13:25,89,1,100,0,4/1/2016 13:25
162,4/1/2016 13:30,80,1,100,0,4/1/2016 13:30
163,4/1/2016 13:35,79,1,100,0,4/1/2016 13:35
164,4/1/2016 13:40,98,1,100,0,4/1/2016 13:40
165,4/1/2016 13:45,102,1,100,0,4/1/2016 13:45
166,4/1/2016 13:50,83,1,100,0,4/1/2016 13:50
167,4/1/2016 13:55,88,1,100,0,4/1/2016 13:55
168,4/1/2016 14:00,102,1,100,0,4/1/2016 14:00
169,4/1/2016 14:05,93,1,100,0,4/1/2016 14:05
170,4/1/2016 14:10,78,1,100,0,4/1/2016 14:10
171,4/1/2016 14:15,87,1,100,0,4/1/2016 14:15
172,4/1/2016 14:20,93,1,100,0,4/1/2016 14:20
173,4/1/2016 14:25,80,1,100,0,4/1/2016 14:25
174,4/1/2016 14:30,67,1,100,0,4/1/2016 14:30
175,4/1/2016 14:35,86,1,100,0,4/1/2016 14:35
176,4/1/2016 14:40,107,1,100,0,4/1/2016 14:40
177,4/1/2016 14:45,100,1,100,0,4/1/2016 14:45
178,4/1/2016 14:50,76,1,100,0,4/1/2016 14:50
179,4/1/2016 14:55,104,1,100,0,4/1/2016 14:55
180,4/1/2016 15:00,95,1,100,0,4/1/2016 15:00
181,4/1/2016 15:05,82,1,100,0,4/1/2016 15:05
182,4/1/2016 15:10,88,1,100,0,4/1/2016 15:10
183,4/1/2016 15:15,90,1,100,0,4/1/2016 15:15
184,4/1/2016 15:20,100,1,100,0,4/1/2016 15:20
185,4/1/2016 15:25,92,1,100,0,4/1/2016 15:25
186,4/1/2016 15:30,99,1,100,0,4/1/2016 15:30
187,4/1/2016 15:35,102,1,100,0,4/1/2016 15:35
188,4/1/2016 15:40,98,1,100,0,4/1/2016 15:40
189,4/1/2016 15:45,86,1,100,0,4/1/2016 15:45
190,4/1/2016 15:50,99,1,100,0,4/1/2016 15:50
191,4/1/2016 15:55,85,1,100,0,4/1/2016 15:55
192,4/1/2016 16:00,102,1,100,0,4/1/2016 16:00
193,4/1/2016 16:05,72,1,100,0,4/1/2016 16:05
194,4/1/2016 16:10,105,1,100,0,4/1/2016 16:10
195,4/1/2016 16:15,97,1,100,0,4/1/2016 16:15
196,4/1/2016 16:20,91,1,100,0,4/1/2016 16:20
197,4/1/2016 16:25,80,1,100,0,4/1/2016 16:25
198,4/1/2016 16:30,83,1,100,0,4/1/2016 16:30
199,4/1/2016 16:35,77,1,100,0,4/1/2016 16:35
200,4/1/2016 16:40,100,1,100,0,4/1/2016 16:40
201,4/1/2016 16:45,82,1,100,0,4/1/2016 16:45
202,4/1/2016 16:50,93,1,100,0,4/1/2016 16:50
203,4/1/2016 16:55,78,1,100,0,4/1/2016 16:55
204,4/1/2016 17:00,87,1,100,0,4/1/2016 17:00
205,4/1/2016 17:05,85,1,100,0,4/1/2016 17:05
206,4/1/2016 17:10,79,1,100,0,4/1/2016 17:10
207,4/1/2016 17:15,105,1,100,0,4/1/2016 17:15
208,4/1/2016 17:20,103,1,100,0,4/1/2016 17:20
209,4/1/2016 17:25,90,1,100,0,4/1/2016 17:25
210,4/1/2016 17:30,82,1,100,0,4/1/2016 17:30
211,4/1/2016 17:35,100,1,100,0,4/1/2016 17:35
212,4/1/2016 17:40,92,1,100,0,4/1/2016 17:40
213,4/1/2016 17:45,80,1,100,0,4/1/2016 17:45
214,4/1/2016 17:50,83,1,100,0,4/1/2016 17:50
215,4/1/2016 17:55,77,1,100,0,4/1/2016 17:55
216,4/1/2016 18:00,73,1,100,0,4/1/2016 18:00
217,4/1/2016 18:05,67,1,100,0,4/1/2016 18:05
218,4/1/2016 18:10,76,1,100,0,4/1/2016 18:10
219,4/1/2016 18:15,76,1,100,0,4/1/2016 18:15
220,4/1/2016 18:20,68,1,100,0,4/1/2016 18:20
221,4/1/2016 18:25,72,1,100,0,4/1/2016 18:25
222,4/1/2016 18:30,72,1,100,0,4/1/2016 18:30
223,4/1/2016 18:35,60,1,100,0,4/1/2016 18:35
224,4/1/2016 18:40,69,1,100,0,4/1/2016 18:40
225,4/1/2016 18:45,75,1,100,0,4/1/2016 18:45
226,4/1/2016 18:50,60,1,100,0,4/1/2016 18:50
227,4/1/2016 18:55,61,1,100,0,4/1/2016 18:55
228,4/1/2016 19:00,69,1,100,0,4/1/2016 19:00
229,4/1/2016 19:05,58,1,100,0,4/1/2016 19:05
230,4/1/2016 19:10,63,1,100,0,4/1/2016 19:10
231,4/1/2016 19:15,71,1,100,0,4/1/2016 19:15
232,4/1/2016 19:20,64,1,100,0,4/1/2016 19:20
233,4/1/2016 19:25,58,1,100,0,4/1/2016 19:25
234,4/1/2016 19:30,53,1,100,0,4/1/2016 19:30
235,4/1/2016 19:35,59,1,100,0,4/1/2016 19:35
236,4/1/2016 19:40,69,1,100,0,4/1/2016 19:40
237,4/1/2016 19:45,54,1,100,0,4/1/2016 19:45
238,4/1/2016 19:50,60,1,100,0,4/1/2016 19:50
239,4/1/2016 19:55,51,1,100,0,4/1/2016 19:55
240,4/1/2016 20:00,40,1,100,0,4/1/2016 20:00
241,4/1/2016 20:05,58,1,100,0,4/1/2016 20:05
242,4/1/2016 20:10,48,1,100,0,4/1/2016 20:10
243,4/1/2016 20:15,41,1,100,0,4/1/2016 20:15
244,4/1/2016 20:20,50,1,100,0,4/1/2016 20:20
245,4/1/2016 20:25,47,1,100,0,4/1/2016 20:25
246,4/1/2016 20:30,43,1,100,0,4/1/2016 20:30
247,4/1/2016 20:35,42,1,100,0,4/1/2016 20:35
248,4/1/2016 20:40,42,1,100,0,4/1/2016 20:40
249,4/1/2016 20:45,54,1,100,0,4/1/2016 20:45
250,4/1/2016 20:50,38,1,100,0,4/1/2016 20:50
251,4/1/2016 20:55,42,1,100,0,4/1/2016 20:55
252,4/1/2016 21:00,41,1,100,0,4/1/2016 21:00
253,4/1/2016 21:05,49,1,100,0,4/1/2016 21:05
254,4/1/2016 21:10,46,1,100,0,4/1/2016 21:10
255,4/1/2016 21:15,34,1,100,0,4/1/2016 21:15
256,4/1/2016 21:20,38,1,100,0,4/1/2016 21:20
257,4/1/2016 21:25,41,1,100,0,4/1/2016 21:25
258,4/1/2016 21:30,41,1,100,0,4/1/2016 21:30
259,4/1/2016 21:35,48,1,100,0,4/1/2016 21:35
260,4/1/2016 21:40,30,1,100,0,4/1/2016 21:40
261,4/1/2016 21:45,33,1,100,0,4/1/2016 21:45
262,4/1/2016 21:50,40,1,100,0,4/1/2016 21:50
263,4/1/2016 21:55,24,1,100,0,4/1/2016 21:55
264,4/1/2016 22:00,34,1,100,0,4/1/2016 22:00
265,4/1/2016 22:05,24,1,100,0,4/1/2016 22:05
266,4/1/2016 22:10,33,1,100,0,4/1/2016 22:10
267,4/1/2016 22:15,32,1,100,0,4/1/2016 22:15
268,4/1/2016 22:20,23,1,100,0,4/1/2016 22:20
269,4/1/2016 22:25,24,1,100,0,4/1/2016 22:25
270,4/1/2016 22:30,24,1,100,0,4/1/2016 22:30
271,4/1/2016 22:35,26,1,100,0,4/1/2016 22:35
272,4/1/2016 22:40,19,1,100,0,4/1/2016 22:40
273,4/1/2016 22:45,16,1,100,0,4/1/2016 22:45
274,4/1/2016 22:50,14,1,100,0,4/1/2016 22:50
275,4/1/2016 22:55,21,1,100,0,4/1/2016 22:55
276,4/1/2016 23:00,16,1,100,0,4/1/2016 23:00
277,4/1/2016 23:05,11,1,100,0,4/1/2016 23:05
278,4/1/2016 23:10,19,1,100,0,4/1/2016 23:10
279,4/1/2016 23:15,22,1,100,0,4/1/2016 23:15
280,4/1/2016 23:20,16,1,100,0,4/1/2016 23:20
281,4/1/2016 23:25,16,1,100,0,4/1/2016 23:25
282,4/1/2016 23:30,17,1,100,0,4/1/2016 23:30
283,4/1/2016 23:35,23,1,100,0,4/1/2016 23:35
284,4/1/2016 23:40,10,1,100,0,4/1/2016 23:40
285,4/1/2016 23:45,20,1,100,0,4/1/2016 23:45
286,4/1/2016 23:50,20,1,100,0,4/1/2016 23:50
287,4/1/2016 23:55,11,1,100,0,4/1/2016 23:55
288,5/1/2016 0:00,12,1,100,1,5/1/2016 0:00
289,5/1/2016 0:05,14,1,100,1,5/1/2016 0:05
290,5/1/2016 0:10,9,1,100,1,5/1/2016 0:10
291,5/1/2016 0:15,6,1,100,1,5/1/2016 0:15
292,5/1/2016 0:20,9,1,100,1,5/1/2016 0:20
293,5/1/2016 0:25,9,1,100,1,5/1/2016 0:25
294,5/1/2016 0:30,12,1,100,1,5/1/2016 0:30
295,5/1/2016 0:35,10,1,100,1,5/1/2016 0:35
296,5/1/2016 0:40,6,1,100,1,5/1/2016 0:40
297,5/1/2016 0:45,6,1,100,1,5/1/2016 0:45
298,5/1/2016 0:50,12,1,100,1,5/1/2016 0:50
299,5/1/2016 0:55,2,1,100,1,5/1/2016 0:55
300,5/1/2016 1:00,11,1,100,1,5/1/2016 1:00
301,5/1/2016 1:05,5,1,100,1,5/1/2016 1:05
302,5/1/2016 1:10,9,1,100,1,5/1/2016 1:10
303,5/1/2016 1:15,8,1,100,1,5/1/2016 1:15
304,5/1/2016 1:20,8,1,100,1,5/1/2016 1:20
305,5/1/2016 1:25,2,1,100,1,5/1/2016 1:25
306,5/1/2016 1:30,9,1,100,1,5/1/2016 1:30
307,5/1/2016 1:35,7,1,100,1,5/1/2016 1:35
308,5/1/2016 1:40,1,1,100,1,5/1/2016 1:40
309,5/1/2016 1:45,5,1,100,1,5/1/2016 1:45
310,5/1/2016 1:50,5,1,100,1,5/1/2016 1:50
311,5/1/2016 1:55,8,1,100,1,5/1/2016 1:55
312,5/1/2016 2:00,3,1,100,1,5/1/2016 2:00
313,5/1/2016 2:05,4,1,100,1,5/1/2016 2:05
314,5/1/2016 2:10,5,1,100,1,5/1/2016 2:10
315,5/1/2016 2:15,3,1,100,1,5/1/2016 2:15
316,5/1/2016 2:20,6,1,100,1,5/1/2016 2:20
317,5/1/2016 2:25,7,1,100,1,5/1/2016 2:25
318,5/1/2016 2:30,3,1,100,1,5/1/2016 2:30
319,5/1/2016 2:35,8,1,100,1,5/1/2016 2:35
320,5/1/2016 2:40,3,1,100,1,5/1/2016 2:40
321,5/1/2016 2:45,3,1,100,1,5/1/2016 2:45
322,5/1/2016 2:50,3,1,100,1,5/1/2016 2:50
323,5/1/2016 2:55,2,1,100,1,5/1/2016 2:55
324,5/1/2016 3:00,4,1,100,1,5/1/2016 3:00
325,5/1/2016 3:05,2,1,100,1,5/1/2016 3:05
326,5/1/2016 3:10,4,1,100,1,5/1/2016 3:10
327,5/1/2016 3:15,7,1,100,1,5/1/2016 3:15
328,5/1/2016 3:20,8,1,100,1,5/1/2016 3:20
329,5/1/2016 3:25,6,1,100,1,5/1/2016 3:25
330,5/1/2016 3:30,6,1,100,1,5/1/2016 3:30
331,5/1/2016 3:35,8,1,100,1,5/1/2016 3:35
332,5/1/2016 3:40,8,1,100,1,5/1/2016 3:40
333,5/1/2016 3:45,12,1,100,1,5/1/2016 3:45
334,5/1/2016 3:50,6,1,100,1,5/1/2016 3:50
335,5/1/2016 3:55,7,1,100,1,5/1/2016 3:55
336,5/1/2016 4:00,12,1,100,1,5/1/2016 4:00
337,5/1/2016 4:05,11,1,100,1,5/1/2016 4:05
338,5/1/2016 4:10,10,1,100,1,5/1/2016 4:10
339,5/1/2016 4:15,19,1,100,1,5/1/2016 4:15
340,5/1/2016 4:20,17,1,100,1,5/1/2016 4:20
341,5/1/2016 4:25,16,1,100,1,5/1/2016 4:25
342,5/1/2016 4:30,18,1,100,1,5/1/2016 4:30
343,5/1/2016 4:35,24,1,100,1,5/1/2016 4:35
344,5/1/2016 4:40,33,1,100,1,5/1/2016 4:40
345,5/1/2016 4:45,45,1,100,1,5/1/2016 4:45
346,5/1/2016 4:50,44,1,100,1,5/1/2016 4:50
347,5/1/2016 4:55,40,1,100,1,5/1/2016 4:55
348,5/1/2016 5:00,53,1,100,1,5/1/2016 5:00
349,5/1/2016 5:05,44,1,100,1,5/1/2016 5:05
350,5/1/2016 5:10,54,1,100,1,5/1/2016 5:10
351,5/1/2016 5:15,67,1,100,1,5/1/2016 5:15
352,5/1/2016 5:20,60,1,100,1,5/1/2016 5:20
353,5/1/2016 5:25,69,1,100,1,5/1/2016 5:25
354,5/1/2016 5:30,75,1,100,1,5/1/2016 5:30
355,5/1/2016 5:35,73,1,100,1,5/1/2016 5:35
356,5/1/2016 5:40,106,1,100,1,5/1/2016 5:40
357,5/1/2016 5:45,101,1,100,1,5/1/2016 5:45
358,5/1/2016 5:50,94,1,100,1,5/1/2016 5:50
359,5/1/2016 5:55,90,1,100,1,5/1/2016 5:55
360,5/1/2016 6:00,108,1,100,1,5/1/2016 6:00
361,5/1/2016 6:05,106,1,100,1,5/1/2016 6:05
362,5/1/2016 6:10,120,1,100,1,5/1/2016 6:10
363,5/1/2016 6:15,126,1,100,1,5/1/2016 6:15
364,5/1/2016 6:20,127,1,100,1,5/1/2016 6:20
365,5/1/2016 6:25,163,1,100,1,5/1/2016 6:25
366,5/1/2016 6:30,128,1,100,1,5/1/2016 6:30
367,5/1/2016 6:35,154,1,100,1,5/1/2016 6:35
368,5/1/2016 6:40,157,1,100,1,5/1/2016 6:40
369,5/1/2016 6:45,171,1,100,1,5/1/2016 6:45
370,5/1/2016 6:50,152,1,100,1,5/1/2016 6:50
371,5/1/2016 6:55,150,1,100,1,5/1/2016 6:55
372,5/1/2016 7:00,148,1,100,1,5/1/2016 7:00
373,5/1/2016 7:05,147,1,100,1,5/1/2016 7:05
374,5/1/2016 7:10,148,1,100,1,5/1/2016 7:10
375,5/1/2016 7:15,136,1,100,1,5/1/2016 7:15
376,5/1/2016 7:20,136,1,100,1,5/1/2016 7:20
377,5/1/2016 7:25,96,1,100,1,5/1/2016 7:25
378,5/1/2016 7:30,114,1,100,1,5/1/2016 7:30
379,5/1/2016 7:35,103,1,100,1,5/1/2016 7:35
380,5/1/2016 7:40,77,1,100,1,5/1/2016 7:40
381,5/1/2016 7:45,82,1,100,1,5/1/2016 7:45
382,5/1/2016 7:50,63,1,100,1,5/1/2016 7:50
383,5/1/2016 7:55,74,1,100,1,5/1/2016 7:55
384,5/1/2016 8:00,85,1,100,1,5/1/2016 8:00
385,5/1/2016 8:05,91,1,100,1,5/1/2016 8:05
386,5/1/2016 8:10,73,1,100,1,5/1/2016 8:10
387,5/1/2016 8:15,80,1,100,1,5/1/2016 8:15
388,5/1/2016 8:20,70,1,100,1,5/1/2016 8:20
389,5/1/2016 8:25,69,1,100,1,5/1/2016 8:25
390,5/1/2016 8:30,69,1,100,1,5/1/2016 8:30
391,5/1/2016 8:35,63,1,100,1,5/1/2016 8:35
392,5/1/2016 8:40,77,1,100,1,5/1/2016 8:40
393,5/1/2016 8:45,59,1,100,1,5/1/2016 8:45
394,5/1/2016 8:50,65,1,100,1,5/1/2016 8:50
395,5/1/2016 8:55,63,1,100,1,5/1/2016 8:55
396,5/1/2016 9:00,56,1,100,1,5/1/2016 9:00
397,5/1/2016 9:05,57,1,100,1,5/1/2016 9:05
398,5/1/2016 9:10,66,1,100,1,5/1/2016 9:10
399,5/1/2016 9:15,73,1,100,1,5/1/2016 9:15
400,5/1/2016 9:20,63,1,100,1,5/1/2016 9:20
401,5/1/2016 9:25,70,1,100,1,5/1/2016 9:25
402,5/1/2016 9:30,80,1,100,1,5/1/2016 9:30
403,5/1/2016 9:35,79,1,100,1,5/1/2016 9:35
404,5/1/2016 9:40,90,1,100,1,5/1/2016 9:40
405,5/1/2016 9:45,87,1,100,1,5/1/2016 9:45
406,5/1/2016 9:50,83,1,100,1,5/1/2016 9:50
407,5/1/2016 9:55,59,1,100,1,5/1/2016 9:55
408,5/1/2016 10:00,78,1,100,1,5/1/2016 10:00
409,5/1/2016 10:05,63,1,100,1,5/1/2016 10:05
410,5/1/2016 10:10,71,1,100,1,5/1/2016 10:10
411,5/1/2016 10:15,73,1,100,1,5/1/2016 10:15
412,5/1/2016 10:20,76,1,100,1,5/1/2016 10:20
413,5/1/2016 10:25,90,1,100,1,5/1/2016 10:25
414,5/1/2016 10:30,70,1,100,1,5/1/2016 10:30
415,5/1/2016 10:35,83,1,100,1,5/1/2016 10:35
416,5/1/2016 10:40,74,1,100,1,5/1/2016 10:40
417,5/1/2016 10:45,87,1,100,1,5/1/2016 10:45
418,5/1/2016 10:50,75,1,100,1,5/1/2016 10:50
419,5/1/2016 10:55,85,1,100,1,5/1/2016 10:55
420,5/1/2016 11:00,80,1,100,1,5/1/2016 11:00
421,5/1/2016 11:05,69,1,100,1,5/1/2016 11:05
422,5/1/2016 11:10,72,1,100,1,5/1/2016 11:10
423,5/1/2016 11:15,75,1,100,1,5/1/2016 11:15
424,5/1/2016 11:20,77,1,100,1,5/1/2016 11:20
425,5/1/2016 11:25,72,1,100,1,5/1/2016 11:25
426,5/1/2016 11:30,64,1,100,1,5/1/2016 11:30
427,5/1/2016 11:35,90,1,100,1,5/1/2016 11:35
428,5/1/2016 11:40,89,1,100,1,5/1/2016 11:40
429,5/1/2016 11:45,53,1,100,1,5/1/2016 11:45
430,5/1/2016 11:50,46,1,100,1,5/1/2016 11:50
431,5/1/2016 11:55,47,1,100,1,5/1/2016 11:55
432,5/1/2016 12:00,41,1,100,1,5/1/2016 12:00
433,5/1/2016 12:05,83,1,100,1,5/1/2016 12:05
